CountryName,CountryCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,RankOf2021
Senegal,SEN,10.36,9.44,8.58,7.65,6.76,4.46,3.69,3.28,2.86,3.62,3.72,"16,296,364",23578084052,147
Serbia,SRB,22.97,24,22.15,19.22,17.66,15.26,13.48,12.73,10.39,9.01,11.81,"6,944,975",51409167351,40
Sierra Leone,SLE,4.29,4.4,4.51,4.68,4.74,4.66,4.66,4.66,4.65,5.2,5.33,"7,813,215",3941474311,108
Singapore,SGP,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.64,3.1,4.1,3.62,"5,703,569",372062527489,150
Slovakia,SVK,13.62,13.96,14.22,13.18,11.48,9.67,8.13,6.54,5.75,6.69,6.74,"5,454,073",105422304976,86
Slovenia,SVN,8.17,8.84,10.1,9.67,8.96,8,6.56,5.11,4.45,4.97,4.42,"2,087,946",53742159517,133
Solomon Islands,SLB,1.3,1.05,0.69,0.73,0.73,0.7,0.71,0.72,0.75,0.92,1.03,"669,823",1425074226,179
Somalia,SOM,18.98,18.97,18.95,18.93,18.9,18.89,18.88,18.85,18.83,19.72,19.86,"15,442,905",4720727278,10
South Africa,ZAF,24.64,24.73,24.56,24.89,25.15,26.54,27.04,26.91,28.47,29.22,33.56,"58,558,270",351431649241,1
South Korea,KOR,2.99,2.81,2.75,3.08,3.55,3.65,3.65,3.82,3.75,3.93,3.53,"51,709,098",2029000000000,153
South Sudan,SSD,12.2,12.2,12.13,12.19,12.27,12.3,12.25,12.24,12.23,14.03,13.91,"11,062,113",11997800751,32
Spain,ESP,21.39,24.79,26.09,24.44,22.06,19.63,17.22,15.25,14.1,15.53,14.73,"47,076,781",1394116310769,26
Sri Lanka,LKA,4.12,3.88,4.24,4.19,4.52,4.24,4.05,4.32,4.35,5.88,5.39,"21,803,000",84008783756,107
Sudan,SDN,17.44,17.45,17.41,17.43,17.49,17.52,17.53,17.58,17.65,19.65,19.81,"42,813,238",18902284476,11
Suriname,SUR,7.54,8.1,6.6,6.94,7.22,7.92,7.9,7.93,8.04,9.78,10.06,"581,372",3985250737,50
Sweden,SWE,7.8,7.98,8.05,7.95,7.43,6.99,6.72,6.36,6.83,8.29,8.66,"10,285,453",530832908738,62
Switzerland,CHE,4.4,4.48,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82,5.32,"8,574,832",703082435360,109
Syria,SYR,8.7,8.81,8.83,8.72,8.71,8.73,8.75,8.76,8.77,10.26,10.57,"17,070,135",40405006007,47
Tajikistan,TJK,10.24,9.58,8.91,8.23,7.55,6.9,6.95,7.01,7.06,7.58,7.75,"9,321,018",8116626794,72
Tanzania,TZA,3.47,3.23,2.93,2.12,2.14,2.16,2.18,2.21,2.22,2.53,2.65,"58,005,463",63177068175,165
Thailand,THA,0.66,0.58,0.25,0.58,0.6,0.69,0.83,0.77,0.72,1.1,1.42,"69,625,582",543649976166,177
Timor-Leste,TLS,3.55,3.76,4.02,4.21,4.45,4.66,4.76,4.73,4.51,4.91,5.07,"3,500,000",1673540300,118
Togo,TGO,1.98,2.03,2.09,2.14,2.2,2.97,3.74,3.73,3.72,3.94,4,"8,082,366",5459979417,142
Tonga,TON,1.79,2.07,2.24,2.37,2.55,2.57,2.82,3.07,3.06,3.63,3.97,"100,209",450353314,144
Trinidad and Tobago,TTO,3.43,3.72,2.68,2.48,2.43,3.21,3.28,3.34,3.42,4.57,4.8,"1,394,973",24100202834,126
Tunisia,TUN,18.33,17.63,15.93,15.06,15.16,15.56,15.33,15.46,15.13,16.59,16.82,"11,694,719",38797709924,17
Turkey,TUR,8.8,8.15,8.73,9.88,10.24,10.84,10.82,10.89,13.67,13.11,13.39,"83,429,615",754411708203,34
Turkmenistan,TKM,4.09,4.09,4.11,4.14,4.14,4.17,4.2,4.23,4.27,4.95,5.08,"5,942,089",40761142857,117
Uganda,UGA,3.51,3.55,1.91,1.91,1.91,1.92,1.93,1.92,1.92,2.77,2.94,"44,269,594",34387229486,160
Ukraine,UKR,7.85,7.53,7.17,9.27,9.14,9.35,9.5,8.8,8.19,9.13,8.88,"44,385,155",153781069118,60
United Arab Emirates,ARE,2.3,2.18,2.04,1.91,1.77,1.64,2.46,2.35,2.23,3.19,3.36,"9,770,529",421142267938,157
United Kingdom,GBR,8.04,7.88,7.52,6.11,5.3,4.81,4.33,4,3.74,4.47,4.53,"66,834,405",2827113184696,132
United States,USA,8.95,8.07,7.37,6.17,5.28,4.87,4.36,3.9,3.67,8.05,5.46,"328,239,523",21427700000000,103
United States Virgin Islands,VIR,12.08,12.23,12.76,12.79,12.62,12.68,12.32,12.43,12.47,13.55,13.27,"104,737",1996000000,35
Uruguay,URY,6.31,6.45,6.44,6.55,7.49,7.84,7.89,8.34,8.88,10.35,10.45,"3,461,734",56045912952,48
Uzbekistan,UZB,5,4.9,4.9,5.1,5.2,5.2,5.8,5.84,5.85,7.04,7.16,"33,580,650",57921286440,81
Vanuatu,VUT,1.81,1.85,1.86,1.81,1.86,1.78,1.75,1.81,1.8,2.12,2.18,"299,882",917058851,169
Venezuela,VEN,6.9,6.6,7.54,6.86,6.08,5.32,5.05,5.02,5.1,6.63,6.41,"28,515,829",482359318768,93
Vietnam,VNM,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,2.04,2.39,2.17,"96,462,106",261921244843,170
Yemen,YEM,13.23,13.17,13.27,13.47,13.77,13.43,13.3,13.15,13.06,13.39,13.57,"29,161,922",26914402224,33
Zambia,ZMB,10.55,7.85,8.61,9.36,10.13,10.87,11.63,12.01,12.52,12.85,13.03,"17,861,030",23064722446,37
Zimbabwe,ZWE,5.37,5.15,4.98,4.77,4.78,4.79,4.78,4.8,4.83,5.35,5.17,"14,645,468",21440758800,114
